x,y,z,t,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,HCP4.0_inph,PRP4.1_inph,direction_nrs,line_numbers,geometry,pos
635490.5635,5692643.326,26.05886464,125139.22,12.51655864,8.863400725,27.02366751,15.39736879,40.59618895,26.39281631,0.0572286,0.233245608,0.696022184,0.331803357,0.744153992,-1.440392529,1,110,POINT (635490.5635 5692643.326),27.273910723539707
635490.1679,5692643.279,26.05009344,125139.37,12.51655864,9.063400725,27.22366751,15.39736879,42.19618895,25.89281631,0.0672286,0.233245608,0.676022184,0.331803357,0.784153992,-1.680392529,1,110,POINT (635490.1679 5692643.279),27.67229290193264
635489.3951,5692643.186,26.05704,125139.62,12.81655864,9.263400725,28.72366751,15.49736879,41.59618895,26.39281631,0.0672286,0.233245608,0.656022184,0.361803357,0.724153992,-1.860392529,1,110,POINT (635489.3951 5692643.186),28.45066867244336
635488.6943,5692643.101,26.06792,125139.82,13.41655864,9.063400725,28.82366751,15.39736879,40.99618895,26.69281631,0.0672286,0.263245608,0.646022184,0.361803357,0.784153992,-1.500392529,1,110,POINT (635488.6943 5692643.101),29.156604675195492
635488.0927,5692643.027,26.07,125140.01,13.41655864,9.363400725,28.42366751,15.79736879,41.19618895,26.59281631,0.0572286,0.273245608,0.646022184,0.311803357,0.824153992,-1.140392529,1,110,POINT (635488.0927 5692643.027),29.762738785707896
635487.5799,5692642.964,26.07,125140.18,13.41655864,9.363400725,28.42366751,16.39736879,41.39618895,26.99281631,0.0572286,0.243245608,0.646022184,0.321803357,0.724153992,-1.270392529,1,110,POINT (635487.5799 5692642.964),30.279394222180677
635486.9559,5692642.888,26.07,125140.38,13.81655864,9.563400725,29.32366751,16.59736879,41.89618895,27.49281631,0.0472286,0.223245608,0.566022184,0.341803357,0.684153992,-1.340392529,1,110,POINT (635486.9559 5692642.888),30.908005389753825
635486.1799,5692642.801,26.07,125140.63,14.51655864,9.563400725,30.02366751,16.49736879,43.29618895,27.69281631,0.0472286,0.243245608,0.556022184,0.361803357,0.804153992,-0.970392529,1,110,POINT (635486.1799 5692642.801),31.68886709324538
635485.6115,5692642.744,26.07,125140.83,14.41655864,9.463400725,30.82366751,16.29736879,44.89618895,27.69281631,0.0472286,0.233245608,0.576022184,0.331803357,0.894153992,-1.000392529,1,110,POINT (635485.6115 5692642.744),32.26011796632228
635484.9283,5692642.682,26.07,125141.04,14.21655864,9.263400725,31.42366751,16.19736879,44.69618895,28.69281631,0.0472286,0.203245608,0.596022184,0.271803357,0.784153992,-1.700392529,1,110,POINT (635484.9283 5692642.682),32.946125429801626
635484.544,5692642.652,26.07,125141.17,14.21655864,9.263400725,31.42366751,16.19736879,44.89618895,29.29281631,0.0472286,0.203245608,0.596022184,0.271803357,0.714153992,-1.990392529,1,110,POINT (635484.544 5692642.652),33.3315946115036
635483.8991,5692642.605,26.07,125141.37,14.51655864,9.463400725,31.22366751,17.19736879,45.19618895,29.59281631,0.0572286,0.243245608,0.596022184,0.381803357,0.754153992,-1.990392529,1,110,POINT (635483.8991 5692642.605),33.97820501188321
635483.0772,5692642.554,26.07,125141.63,14.81655864,10.16340072,32.12366751,18.09736879,45.19618895,30.19281631,0.0472286,0.263245608,0.606022184,0.371803357,0.724153992,-1.980392529,1,110,POINT (635483.0772 5692642.554),34.80168580101018
635482.3654,5692642.515,26.07,125141.83,15.51655864,10.96340072,32.42366751,19.39736879,45.09618895,30.79281631,0.0472286,0.263245608,0.606022184,0.321803357,0.714153992,-1.940392529,1,110,POINT (635482.3654 5692642.515),35.51455341849522
635481.6703,5692642.48,26.07290304,125142.05,17.01655864,11.66340072,33.32366751,20.89736879,44.79618895,31.39281631,0.0472286,0.273245608,0.596022184,0.311803357,1.014153992,-1.660392529,1,110,POINT (635481.6703 5692642.48),36.2105340288297
635481.3568,5692642.465,26.08409024,125142.16,18.21655864,12.16340072,33.32366751,20.89736879,44.79618895,32.39281631,0.0572286,0.263245608,0.596022184,0.311803357,1.174153992,-1.380392529,1,110,POINT (635481.3568 5692642.465),36.52439267543301
635480.7057,5692642.436,26.08998816,125142.36,18.81655864,12.76340072,34.52366751,22.99736879,45.19618895,33.79281631,0.0572286,0.233245608,0.616022184,0.251803357,0.794153992,-1.150392529,1,110,POINT (635480.7057 5692642.436),37.1761381854878
635479.9155,5692642.406,26.08704512,125142.61,19.91655864,13.66340072,36.42366751,24.49736879,45.39618895,34.89281631,0.0472286,0.203245608,0.586022184,0.281803357,0.744153992,-1.450392529,1,110,POINT (635479.9155 5692642.406),37.966907456535715
635479.2449,5692642.384,26.08145152,125142.81,21.61655864,15.06340072,37.52366751,26.19736879,44.79618895,35.79281631,0.0472286,0.193245608,0.596022184,0.301803357,0.854153992,-2.190392529,1,110,POINT (635479.2449 5692642.384),38.637868230332536
635478.6683,5692642.365,26.08167648,125143.01,23.51655864,16.56340072,37.52366751,26.19736879,43.79618895,36.09281631,0.0472286,0.223245608,0.596022184,0.301803357,0.954153992,-2.520392529,1,110,POINT (635478.6683 5692642.365),39.21478118738128
635478.1451,5692642.347,26.08731808,125143.18,24.71655864,17.86340072,37.82366751,27.59736879,43.49618895,36.49281631,0.0572286,0.273245608,0.656022184,0.311803357,0.954153992,-2.240392529,1,110,POINT (635478.1451 5692642.347),39.738290728901156
635477.4552,5692642.321,26.08987712,125143.39,24.91655864,19.16340072,36.82366751,29.19736879,44.09618895,36.29281631,0.0672286,0.303245608,0.726022184,0.411803357,0.764153992,-1.350392529,1,110,POINT (635477.4552 5692642.321),40.428680481125305
635476.7077,5692642.29,26.08808104,125143.62,25.51655864,19.96340072,37.42366751,28.79736879,43.19618895,35.69281631,0.0672286,0.243245608,0.676022184,0.331803357,0.744153992,-0.650392529,1,110,POINT (635476.7077 5692642.29),41.17682301429384
635476.0092,5692642.26,26.08310024,125143.83,26.31391947,19.96340072,37.42366751,28.19736879,42.19618895,35.89281631,0.0572286,0.173245608,0.626022184,0.241803357,0.814153992,-0.910392529,1,110,POINT (635476.0092 5692642.26),41.87596695519228
635475.3886,5692642.233,26.07689976,125144.02,25.59544283,19.26340072,36.42366751,27.89736879,43.29618895,36.49281631,0.0572286,0.163245608,0.596022184,0.261803357,0.844153992,-1.440392529,1,110,POINT (635475.3886 5692642.233),42.49715401237967
635474.8347,5692642.207,26.07191896,125144.18,24.46046588,18.46340072,36.42366751,27.89736879,44.99618895,37.39281631,0.0572286,0.203245608,0.596022184,0.261803357,0.934153992,-1.570392529,1,110,POINT (635474.8347 5692642.207),43.051663894991194
635474.1441,5692642.175,26.07,125144.38,23.96046588,17.26340072,38.22366751,27.29736879,46.39618895,37.89281631,0.0572286,0.233245608,0.676022184,0.321803357,0.924153992,-1.930392529,1,110,POINT (635474.1441 5692642.175),43.74300488176968
635473.2791,5692642.132,26.07,125144.63,23.66046588,15.86340072,39.02366751,25.79736879,47.39618895,37.89281631,0.0572286,0.243245608,0.786022184,0.301803357,0.904153992,-2.090392529,1,110,POINT (635473.2791 5692642.132),44.60907300839096
