,x,y,EC_0.10,EC_0.20,EC_0.30,EC_0.40,EC_0.50,EC_0.60,EC_0.70,EC_0.80,EC_0.90,EC_1.00,EC_1.10,EC_1.20,EC_1.30,EC_1.40,EC_1.50,EC_1.60,EC_1.70,EC_1.80,EC_1.90,EC_2.00,EC_end,pos
168,107770.7582,183290.5873,11.994020129354697,23.698404884181127,41.97822677289041,61.979948083929386,80.84201583421013,97.23097690888433,110.69294851496971,121.25219654650918,129.151473325315,134.71257038741754,138.2777035544392,140.16836715929364,140.67281972689156,140.0531034268159,138.52053656027218,136.26228590268235,133.42432655783645,130.13890045817246,126.5102483891138,122.63036303552359,118.56576398117086,59.69563931
169,107770.9122,183290.3624,12.037436033015924,23.155011627568975,40.72275139406929,60.10496284096773,78.54132081487911,94.70778232682264,108.14476240709813,118.83408403818007,126.99075258041437,132.91479660664987,136.9292969872759,139.33277500907727,140.39948546007722,140.37348529044638,139.46256367595046,137.83937920013415,135.64224425257288,133.0034691683574,130.0213937136587,126.7847342887668,123.34807399909026,59.96825014
170,107771.0981,183290.089,11.183416007340744,22.18029585600114,39.5314778687864,58.69721076398212,76.96702358411814,93.04365562889424,106.46743046177643,117.23867625496361,125.5519165608943,131.7007572059559,135.98843140808,138.7126581279388,140.12889360873473,140.47891900992494,139.95966890277492,138.7347898705396,136.95659538125147,134.7368605502636,132.1759895750286,129.35584639171304,126.33908582403585,60.2988872
171,107771.2947,183289.797,10.95852342052314,21.744773694505163,38.746796193169075,57.53898810533261,75.4737622380901,91.29119898230235,104.54177962725242,115.2165205147579,123.51181390267755,129.70573740171696,134.08798434380668,136.94433682735055,138.53623049391,139.09486843770802,138.80769470289295,137.82947760396883,136.29450175979852,134.32326741038233,132.02004396542546,129.45191952745503,126.69570389830069,60.65085624
172,107771.4769,183289.5238,12.925717844092674,22.773619433908916,38.56445252120045,56.20890653703748,73.20915747904978,88.32546941347621,101.10679935562764,111.49993564497565,119.67695845471259,125.88021078711233,130.37790778950114,133.4312112742734,135.27318911317778,136.11292235759927,136.1285106001616,135.4784661591885,134.29314431329684,132.68065547331761,130.7355233163644,128.5269025517507,126.12118255491194,60.97927772
173,107771.6576,183289.25,14.851808128624688,23.965888036985532,38.784487282751,55.481749769443304,71.6726089319715,86.15991249502177,98.48491357156638,108.58286952135931,116.59154844997835,122.72514965865331,127.23005558574297,130.35035935564252,132.3150128118207,133.31792923662954,133.52804275851076,133.08516154699163,132.11626484122192,130.72064827697454,128.9899490263056,126.9981352643646,124.80550499518233,61.30728021
174,107771.8596,183288.9422,15.650089809925234,24.601610312159256,39.14685646716542,55.52300180488553,71.39205737445317,85.59130957168176,97.67253418928244,107.57367517987194,115.42108295821201,121.42865865703413,125.83333875005354,128.87716518904128,130.7731860042489,131.71498489726213,131.86834937722617,131.37770544318388,130.3676025985975,128.93960833416364,127.18155256362004,125.16534624768124,122.95187960476596,61.67547212
175,107772.0051,183288.7197,14.816820648834842,24.226016402608284,39.36734100598719,56.299079115187574,72.6093079722483,87.10025238425943,99.33311132272718,109.25325086802349,117.02102069469217,122.8664799767655,127.04983304983367,129.8196846783444,131.40633175105935,132.013898863945,131.8210037881854,130.97164279434918,129.59684299689408,127.80035190213104,125.67267177633045,123.28651440226322,120.70672712550873,61.94138076
176,107772.1724,183288.4635,13.503066390345907,23.41623554993889,39.20935444386472,56.75661575763888,73.5580505909831,88.40621308822978,100.8701115924666,110.90879248801946,118.70032288167586,124.49667764049407,128.5756935823028,131.2003550066311,132.61288285106096,133.02249187686542,132.61777923979187,131.54714462444517,129.9412949505352,127.91629711258008,125.55860342501785,122.95147871840051,120.14940752246609,62.24732427
177,107772.345,183288.1989,12.772717863784928,22.639679771835755,38.4613580529263,56.09859995180508,73.02978283859406,88.03448673534248,100.65780118386489,110.87575558156672,118.84947861227008,124.83752247076272,129.11368359266777,131.93949206707038,133.54831305846642,134.14870538601957,133.92247789614825,133.02760269147186,131.6009613620529,129.74943380142315,127.56692123669168,125.12327387597314,122.48627229965659,62.5632352
178,107772.4997,183287.9619,13.34566722675015,22.762928840273158,38.038163483477895,55.22635883267266,71.8721923456867,86.75176715758533,99.3965508201869,109.74584925484001,117.94563955581388,124.22482938683653,128.83804995191502,132.03137331389254,134.0347861034506,135.04634463835256,135.24289951203477,134.77659703795683,133.77343259260334,132.34508132973195,130.57561404594802,128.54678685083016,126.30979734457361,62.84621803
179,107772.7068,183287.6449,14.446216893414256,23.38649543477679,38.035170872710154,54.635118625191645,70.82093218809007,85.39529722116356,97.88553131854385,108.21180061603671,116.50468264799946,122.96915274061662,127.84155805482206,131.35788817996817,133.72766306505798,135.14046005765525,135.7664183430637,135.73862506997028,135.18374087538714,134.2012008729743,132.87970725673713,131.29102547646184,129.49041790438113,63.2249019
180,107772.9737,183287.2385,15.167498044972245,23.91855645003242,38.30721272426751,54.65887538037045,70.64384841429674,85.08196910958054,97.499243380474,107.8108329657694,116.12555406774547,122.64223848555875,127.59004587380034,131.19815537058827,133.67417440464723,135.20273264160164,135.94234137653518,136.03262164411746,135.59223284411752,134.72494399384445,133.51450327022036,132.0352540934048,130.34553063690169,63.71109708
181,107773.0659,183287.0987,15.513940160257397,24.421234986536565,39.04542654325205,55.643584970066854,71.83441949335273,86.41151996542854,98.89619585901342,109.19959816534487,117.4430863899262,123.83162346391278,128.6024175015162,131.9976015264667,134.23524007011724,135.51125121436684,135.9905288364556,135.81439823040046,135.1038102016529,133.96090108851558,132.47331471605327,130.71727411808428,128.75426151313167,63.8786349
182,107773.2449,183286.8283,15.916321093929914,24.932732793549658,39.7803040286386,56.627032386277016,73.03591951860906,87.76618146566832,100.32504665470876,110.63040064449822,118.80970746123683,125.0762191561805,129.67799827154187,132.86241918541864,134.86060368272481,135.8676569492917,136.05739134783218,135.57493130459662,134.55171466887884,133.09500692411999,131.29309043282475,129.22416092248602,126.9452233277943,64.20291225
183,107773.402,183286.5917,15.733119055143144,25.33430061492709,40.88966315907915,58.33675467146874,75.16183201189575,90.12250454240541,102.74987102155264,112.99627055322111,121.01348693052678,127.04390830701529,131.3515362519595,134.19869934292333,135.8271636278937,136.44831554578016,136.24062598944604,135.35888940022778,133.93192729335192,132.07029419076108,129.87121834130232,127.41019319937402,124.75483187846271,64.48683011
184,107773.5545,183286.362,16.182067381795168,26.40484989417626,42.705397014451805,60.76784637633669,77.98777672222114,93.11065088564455,105.6969487957502,115.72921508719502,123.4027902136298,128.99668323886672,132.8020843158762,135.1013916660617,136.14700319296975,136.16251417227556,135.3410069273923,133.84827741007504,131.82121984003183,129.36721787194253,126.5908124964654,123.56284583067848,120.34980484584221,64.76263035
