x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph
107756.258,183258.704,70.72489476,39695.69,27.36267415,11.64560348,49.11421803,23.4153092,60.64049835,40.08169312,0.960332749,0.658496972,0.946713171,0.079562359,1.357678317,-2.194993483
107756.073,183258.978,70.711686,39695.8,27.26267415,12.24560348,48.51421803,23.9153092,59.54049835,40.38169312,0.960332749,0.658496972,0.956713171,0.069562359,1.357678317,-2.184993483
107755.89,183259.248,70.70459733,39695.91,27.06267415,13.24560348,47.91421803,24.4153092,58.64049835,40.68169312,0.960332749,0.648496972,0.956713171,0.069562359,1.357678317,-2.174993483
107755.729,183259.486,70.697378,39696.01,26.86267415,14.14560348,47.51421803,24.6153092,58.44049835,40.78169312,0.960332749,0.638496972,0.956713171,0.069562359,1.347678317,-2.174993483
107755.708,183259.518,70.697378,39696.02,26.86267415,14.14560348,47.51421803,24.6153092,58.74049835,40.58169312,0.960332749,0.638496972,0.956713171,0.069562359,1.347678317,-2.194993483
107755.527,183259.787,70.68925114,39696.11,26.86267415,13.84560348,47.01421803,24.0153092,58.94049835,40.18169312,0.960332749,0.638496972,0.956713171,0.089562359,1.337678317,-2.234993483
107755.358,183260.038,70.68311325,39696.22,26.66267415,12.94560348,46.51421803,22.9153092,59.14049835,39.88169312,0.960332749,0.648496972,0.976713171,0.079562359,1.337678317,-2.274993483
107755.193,183260.284,70.67431695,39696.32,26.36267415,12.04560348,46.51421803,22.9153092,59.34049835,39.58169312,0.960332749,0.648496972,0.966713171,0.049562359,1.327678317,-2.314993483
107754.998,183260.575,70.666064,39696.42,26.16267415,11.54560348,46.61421803,22.7153092,59.44049835,39.28169312,0.960332749,0.658496972,0.956713171,0.049562359,1.327678317,-2.294993483
107754.787,183260.892,70.65345314,39696.53,25.86267415,11.24560348,46.61421803,22.4153092,59.14049835,38.78169312,0.960332749,0.658496972,0.956713171,0.059562359,1.327678317,-2.254993483
107754.667,183261.072,70.64587643,39696.62,25.46267415,11.24560348,46.61421803,22.1153092,58.84049835,38.48169312,0.960332749,0.658496972,0.956713171,0.079562359,1.317678317,-2.224993483
107754.471,183261.367,70.63755716,39696.73,25.16267415,11.14560348,46.31421803,21.9153092,58.24049835,38.38169312,0.960332749,0.658496972,0.956713171,0.079562359,1.297678317,-2.234993483
107754.298,183261.628,70.6278492,39696.82,25.16267415,11.14560348,46.01421803,21.8153092,57.54049835,38.48169312,0.960332749,0.658496972,0.956713171,0.079562359,1.307678317,-2.274993483
107754.14,183261.866,70.62010654,39696.92,25.36267415,11.14560348,46.01421803,21.9153092,57.34049835,38.58169312,0.960332749,0.658496972,0.956713171,0.069562359,1.317678317,-2.314993483
107753.857,183262.295,70.61349695,39697.07,25.76267415,11.34560348,46.01421803,22.2153092,57.34049835,38.58169312,0.960332749,0.658496972,0.956713171,0.059562359,1.317678317,-2.334993483
107753.706,183262.523,70.6045875,39697.17,25.76267415,11.34560348,46.21421803,22.6153092,57.24049835,38.58169312,0.960332749,0.658496972,0.946713171,0.059562359,1.317678317,-2.324993483
107753.501,183262.834,70.59866534,39697.28,25.86267415,11.54560348,46.11421803,22.8153092,56.8405241,38.58169312,0.960332749,0.658496972,0.946713171,0.069562359,1.31764632,-2.304993483
107753.299,183263.141,70.59102126,39697.39,26.06229873,11.84594411,45.81408144,23.01567142,56.34058478,38.78453896,0.960323015,0.658495822,0.946714472,0.069548135,1.327554382,-2.285006864
