x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1
107746.654,183324.853,69.66876909,40896.3,17.03665553,8.473430252,29.08872613,16.3691566,32.93981971,23.63543075
107746.781,183324.675,69.66876909,40896.39,17.03665553,8.473430252,29.08872613,16.3691566,33.23981971,23.53543075
107746.963,183324.421,69.68847625,40896.51,16.83665553,8.273430252,29.08872613,15.8691566,33.53981971,23.53543075
107747.126,183324.193,69.68847625,40896.61,16.53665553,7.973430252,28.98872613,15.3691566,33.93981971,23.53543075
107747.291,183323.964,69.70163713,40896.71,16.23665553,7.673430252,28.98872613,15.0691566,34.33981971,23.63543075
107747.483,183323.696,69.72682014,40896.81,15.93665553,7.473430252,28.98872613,14.7691566,34.53981971,23.73543075
107747.628,183323.494,69.72682014,40896.91,15.73665553,7.173430252,28.98872613,14.5691566,34.73981971,23.53543075
107747.806,183323.244,69.74980889,40897.02,15.53665553,6.973430252,28.88872613,14.3691566,35.03981971,23.53543075
107747.919,183323.086,69.74980889,40897.09,15.53665553,6.973430252,28.88872613,14.3691566,35.43981971,23.73543075
107748.096,183322.838,69.76060875,40897.19,15.73665553,7.073430252,28.78872613,14.5691566,35.33981971,24.23543075
107748.181,183322.718,69.770852,40897.24,15.73665553,7.373430252,28.98872613,14.5691566,35.13981971,24.53543075
107748.337,183322.497,69.778218,40897.34,16.13665553,7.773430252,29.28872613,14.9691566,35.23981971,24.63543075
107748.48,183322.293,69.78510268,40897.44,16.23665553,8.173430252,29.38872613,15.7691566,35.33981971,24.73543075
107748.633,183322.075,69.79299267,40897.54,16.43665553,8.573430252,29.38872613,16.1691566,35.33981971,24.93543075
107748.802,183321.832,69.80045727,40897.64,16.83665553,8.773430252,30.28872613,16.5691566,35.23981971,25.23543075
107748.97,183321.591,69.80701003,40897.74,17.23665553,8.773430252,30.98872613,16.7691566,35.33981971,25.43543075
107749.121,183321.372,69.81024255,40897.85,17.73665553,8.773430252,31.28872613,16.8691566,35.43981971,25.43543075
107749.283,183321.136,69.81669567,40897.95,17.93665553,8.773430252,31.48872613,17.1691566,35.53981971,25.13543075
107749.483,183320.846,69.829979,40898.07,18.03665553,8.773430252,31.48872613,17.2691566,35.43981971,24.83543075
107749.615,183320.651,69.829979,40898.16,18.03665553,8.873430252,31.48872613,17.2691566,35.23981971,24.83543075
107749.826,183320.345,69.84074886,40898.28,18.03665553,9.073430252,30.88872613,17.3691566,35.03981971,24.93543075
107749.958,183320.153,69.84767086,40898.37,18.13665553,9.173430252,30.58872613,17.3691566,34.93981971,25.13543075
107750.125,183319.91,69.85568305,40898.47,18.23665553,9.173430252,30.58872613,17.4691566,34.73981971,25.53543075
107750.282,183319.683,69.863936,40898.58,18.23665553,8.973430252,30.88872613,17.4691566,34.73981971,25.83543075
107750.455,183319.431,69.87148639,40898.69,18.13665553,8.773430252,31.6883039,17.3691566,34.83981971,26.03543075
107750.612,183319.204,69.88160349,40898.79,18.03593217,8.573430252,31.5883039,17.2691566,35.13898005,26.03543075
107750.785,183318.954,69.88996367,40898.9,17.93593217,8.573430252,31.4883039,17.1691566,35.53898005,25.93543075
107750.951,183318.713,69.89815227,40899.01,17.83593217,8.673430252,31.3883039,17.1691566,35.83898005,25.73543075
107751.052,183318.566,69.90606872,40899.08,17.93593217,8.773430252,31.3883039,17.1691566,35.93898005,25.53543075
107751.243,183318.287,69.91361245,40899.19,17.93593217,8.873430252,31.2883039,17.0691566,36.03898005,25.63543075
107751.416,183318.036,69.92135994,40899.29,17.93593217,8.773430252,31.3883039,17.0691566,36.13898005,25.93543075
107751.558,183317.827,69.92595037,40899.39,17.93593217,8.773430252,31.7883039,17.1691566,36.23898005,26.03543075
107751.732,183317.571,69.93506289,40899.49,17.93593217,8.673430252,31.8883039,17.0691566,36.33898005,25.83543075
107751.874,183317.362,69.94075391,40899.6,17.93593217,8.673430252,31.8883039,16.9691566,36.43898005,25.53543075
107752.046,183317.108,69.94628173,40899.69,17.93593217,8.673430252,31.5883039,16.7691566,36.03898005,25.23543075
107752.188,183316.896,69.95176977,40899.8,17.93593217,8.673430252,31.2883039,16.7691566,35.33898005,24.93543075
107752.359,183316.641,69.95734148,40899.89,17.83593217,8.673430252,30.6883039,16.7691566,34.83898005,24.83543075
107752.499,183316.432,69.96312027,40899.99,17.73593217,8.573430252,30.6883039,16.8691566,35.13898005,24.93543075
107752.623,183316.246,69.96986343,40900.08,17.63593217,8.473430252,30.4883039,16.8691566,35.73898005,25.03543075
107752.772,183316.021,69.97647886,40900.17,17.33593217,8.173430252,30.8883039,16.3691566,36.13898005,24.93543075
107754.033,183314.078,70.05384304,40901,16.63593217,7.373430252,30.3883039,14.9691566,36.63898005,24.43543075
107754.079,183314.008,70.05384304,40901.03,16.63593217,7.373430252,30.3883039,14.9691566,37.43898005,24.43543075
107754.216,183313.793,70.06292086,40901.12,16.63593217,7.373430252,30.3883039,14.9691566,38.03898005,24.03543075
107754.353,183313.579,70.06292086,40901.21,16.63593217,7.373430252,29.9883039,14.5691566,38.13898005,23.43543075
107754.429,183313.46,70.07063919,40901.26,16.43593217,7.373430252,29.7883039,14.4691566,37.83898005,23.13543075
107754.46,183313.412,70.07063919,40901.28,16.43593217,7.373430252,29.7883039,14.4691566,37.63898005,22.93543075
107754.52,183313.317,70.07491825,40901.32,16.33593217,7.473430252,29.6883039,14.4691566,37.93898005,23.03543075
107754.581,183313.222,70.07491825,40901.36,16.13593217,7.473430252,29.6883039,14.4691566,38.23898005,23.13543075
107754.642,183313.127,70.08103717,40901.4,16.13593217,7.473430252,29.6883039,14.3691566,38.53898005,23.23543075
107754.703,183313.033,70.08103717,40901.44,16.13593217,7.373430252,29.7883039,13.7691566,38.63898005,23.13543075
107754.779,183312.913,70.08103717,40901.49,16.13593217,7.373430252,29.9883039,13.6691566,38.63898005,23.03543075
107754.854,183312.796,70.08609082,40901.54,16.1342032,7.173430252,29.9883039,13.66786677,38.63098039,23.03543075
107754.945,183312.654,70.09079995,40901.6,15.92510346,6.870186173,29.68050193,13.75241612,38.62432448,23.13543075
107755.035,183312.513,70.09079995,40901.66,15.9108533,6.861661843,29.46174925,13.84828605,38.57997576,23.20160759
107755.126,183312.371,70.09530028,40901.72,16.0048553,6.858147112,29.45528834,13.74828605,38.57997576,23.29327393
107755.245,183312.185,70.10017143,40901.8,16.0048553,6.858147112,29.75528834,13.64828605,38.57997576,23.39327393
107755.571,183311.676,70.10939048,40902.02,16.1048553,6.658147112,30.05528834,13.64828605,38.57997576,23.39327393
107755.687,183311.496,70.10939048,40902.1,16.1048553,6.558147112,30.05528834,13.64828605,38.57997576,23.49327393
107755.84,183311.259,70.11941974,40902.19,16.1048553,6.558147112,29.85528834,13.54828605,38.77997576,23.49327393
107755.978,183311.046,70.12484173,40902.28,16.1048553,6.558147112,29.85528834,13.54828605,39.07997576,23.59327393
107756.129,183310.815,70.13066284,40902.37,16.0048553,6.658147112,29.85528834,13.64828605,39.27997576,23.79327393
107756.259,183310.618,70.13066284,40902.45,16.0048553,6.758147112,30.15528834,13.74828605,38.97997576,24.09327393
107756.346,183310.485,70.13066284,40902.51,16.0048553,6.858147112,30.25528834,13.74828605,38.37997576,24.49327393
107756.496,183310.259,70.13066284,40902.61,16.0048553,7.058147112,30.15528834,13.94828605,37.97997576,24.79327393
107756.672,183309.995,70.17483776,40902.71,16.1048553,7.158147112,29.95528834,14.44828605,37.97997576,25.19327393
