x,y,EC_0.60,predicted_pH_H2O_10cm
107808.198,183287.759,30.25112389760145,6.537628370069178
107808.193,183287.757,30.30273307427837,6.537695282333561
107808.188,183287.754,30.43528523660031,6.537867138695182
107808.188,183287.754,30.41810166458098,6.537844859872149
107808.188,183287.754,30.41810166458098,6.537844859872149
107808.188,183287.754,30.43528523660031,6.537867138695182
107808.188,183287.754,30.45248323554232,6.537889436222989
107808.188,183287.754,30.43528523660031,6.537867138695182
107808.188,183287.754,30.43528523660031,6.537867138695182
107808.184,183287.753,30.468840912714363,6.53791064425788
107808.176,183287.748,30.313362784878787,6.537709063952487
107808.165,183287.742,30.334822973869617,6.5377368874895385
107808.149,183287.735,30.57296648200728,6.538045645009107
107808.136,183287.728,30.568719231391,6.538040138369117
107808.123,183287.722,30.396032078005984,6.537816246239714
107808.11,183287.715,30.276674754351067,6.537661497233612
107808.103,183287.712,30.51688766364529,6.5379729377705464
107808.097,183287.709,30.36877765410306,6.537780910368553
107808.096,183287.708,30.32753037248019,6.537727432495221
107808.095,183287.708,30.32753037248019,6.537727432495221
107808.095,183287.708,30.310341393154665,6.537705146661516
107808.095,183287.708,30.310341393154665,6.537705146661516
107808.094,183287.708,30.328372554995777,6.53772852440063
107808.087,183287.704,30.301017980798868,6.537693058682736
107808.086,183287.704,30.301017980798868,6.537693058682736
107808.086,183287.704,30.28381493922457,6.537670754617061
107808.086,183287.704,30.249419416250547,6.537626160177176
107808.086,183287.704,30.249419416250547,6.537626160177176
107808.085,183287.703,30.313852018094558,6.537709698252517
107808.084,183287.702,30.29139415695215,6.53768058121483
107808.083,183287.702,30.077209887969907,6.5374028872976675
107808.083,183287.702,30.05418279564089,6.537373032241085
107808.083,183287.702,30.0885651627134,6.5374176096240975
107808.082,183287.702,30.12294913036179,6.537462189082286
107808.082,183287.701,30.14274751409844,6.537487858057695
107808.081,183287.701,30.20481378631376,6.537568328142342
107808.075,183287.698,30.44753436314397,6.537883019917214
107808.075,183287.698,30.413147865991892,6.537838437179476
107808.074,183287.698,30.39594538491605,6.537816133840499
107808.068,183287.695,30.34062729267984,6.537744412897611
107808.068,183287.695,30.323446176605835,6.537722137258759
107808.067,183287.694,30.374588955064347,6.537788444829115
107808.066,183287.694,30.193396624915408,6.537553525578705
107808.065,183287.693,30.208335348294096,6.537572893913421
107808.063,183287.692,30.162433239768564,6.537513380969809
107808.062,183287.692,30.2658183173851,6.537647421659706
107808.061,183287.691,30.258475756950894,6.537637901892551
107808.059,183287.69,30.272036396127096,6.537655483515281
107808.059,183287.69,30.34082275026388,6.53774466631203
107808.058,183287.69,30.289235628893547,6.537677782642765
107808.057,183287.689,30.326226523504864,6.537725742030599
107808.056,183287.689,30.343127905615468,6.537747654989128
107808.055,183287.688,30.33464082643524,6.5377366513319775
107808.049,183287.685,30.492195238327074,6.537940923578545
107808.049,183287.685,30.50937774416728,6.537963201019256
107808.048,183287.685,30.51839254662141,6.537974888879517
107808.047,183287.684,30.418190922310043,6.537844975596467
107808.04,183287.681,30.594911388489585,6.538074096991467
107808.04,183287.681,30.577713093635783,6.538051799080004
107808.04,183287.681,30.54333614881689,6.538007228727045
107808.04,183287.681,30.526142032334352,6.537984936232919
107808.04,183287.681,30.526142032334352,6.537984936232919
107808.04,183287.681,30.56053298411301,6.538029524746164
107808.04,183287.681,30.56053298411301,6.538029524746164
