x,y,EC_0.10,EC_0.20,EC_0.30,EC_0.40,EC_0.50,EC_0.60,EC_0.70,EC_0.80,EC_0.90,EC_1.00,EC_1.10,EC_1.20,EC_1.30,EC_1.40,EC_1.50,EC_1.60,EC_1.70,EC_1.80,EC_1.90,EC_2.00,EC_end,pos
107746.1284,183327.1227,17.647690183791426,25.93526296117093,38.34448893796064,51.28760180667375,62.81197923288575,72.10652964598917,78.98475852619332,83.55883707811459,86.06643027419234,86.78152997193533,85.97714159684355,83.90503526865838,80.78203023669309,76.79640076392862,72.10215005438072,66.83032481052551,61.092381050110205,54.98213253549099,48.57800809923598,41.93865504580736,35.11739680620927,15.63063477
107746.3097,183326.8439,16.124175150678763,25.22413978132767,38.85710300620272,53.12158851411389,65.8611286533987,76.15354967065066,83.7609059180493,88.79070747352229,91.50230923907434,92.19377864781626,91.16202213974985,88.6788974968218,84.9882567824197,80.3014999639046,74.80307984961176,68.64318290901325,61.94477557717283,54.81101577002406,47.33276018621552,39.58253234074608,31.619770946333652,15.96322382
107746.4307,183326.6575,15.463899803202068,24.680300994200103,38.534051418635045,53.0615082669276,66.06265973195201,76.59031927193452,84.39557858617208,89.58054978814926,92.4015505017569,93.16443506729092,92.1728722620918,89.70598283504567,86.00983036796214,81.29656278496638,75.75021861855966,69.5233801083734,62.7466895345633,55.52774560074777,47.95858677781551,40.113272862695425,32.054203642152096,16.18537661
107746.615,183326.373,14.399328969489144,23.702437996125152,37.64446521781309,52.254032002309515,65.33720034021417,75.94650858354674,83.84240166217656,89.12882573834376,92.05863684094062,92.93476138579989,92.05995636235363,89.71920436590375,86.15768976527418,81.58784501029142,76.18586329879705,70.10565309439836,63.480188776198055,56.414132091740065,48.999100405739846,41.305132874255925,33.396700425606035,16.5243997
107746.7616,183326.1467,14.136453418256462,23.17795447104622,36.741820716122206,50.9853961056295,63.77603894760209,74.19013865096478,81.9812284266598,87.2413243794126,90.21781881702894,91.20286935880499,90.48817101676514,88.34522743429133,85.01074305823009,80.69324088278388,75.56588953638456,69.77859824854036,63.45494648583827,56.70371706477789,49.612444262374765,42.24684629188671,34.67143180685148,16.79405639
107746.8538,183326.0042,14.111472709159788,22.711016714165105,35.70864309575699,49.45098048221643,61.87782287268027,72.07510218975627,79.78331418304657,85.0700578218536,88.15610660764253,89.31117260966,88.81364178512533,86.91990107535104,83.86129809216096,79.83450516709732,75.00939924756351,69.5300393135476,63.518287240635516,57.072090939414565,50.278096104725776,43.20919472810102,35.92494697873067,16.96374926
107746.9832,183325.8045,13.037487079634879,21.59817619286797,34.62884058881754,48.49646090403442,61.12281102912974,71.56029871998716,79.51704335037957,85.03785677599674,88.33138765805465,89.65770003535832,89.29250861438713,87.49029212791068,84.48349054221228,80.4698443357,75.62320063509509,70.09368120361194,63.998270362023064,57.445978259313534,50.52682961613807,43.313936196407255,35.867173910349,17.20172467
107747.1633,183325.527,12.932323949178462,21.09061593898023,33.71035415851005,47.28630067961634,59.76325548508838,70.17777107346578,78.21139983204152,83.88410936886555,87.37778508349177,88.93850393954855,88.82587547918311,87.28601252195928,84.54398531681089,80.79467237630114,76.20915603116579,70.93152265761799,65.08503448371226,58.77348222252609,52.08506317456024,45.093370632424474,37.86006441312829,17.53256094
107747.3733,183325.204,9.686133133016202,18.37621246249201,31.77707491955366,46.1839487192576,59.43527850699032,70.52654503870896,79.1281023887404,85.26361924080541,89.12419169820522,90.96704150446709,91.06095044749514,89.66471789285676,87.0096397988299,83.3034212114138,78.72237598682544,73.41591080670055,67.51141374911512,61.118473113405805,54.32847658760223,47.21734595956772,39.85075419640481,17.91785628
107747.6963,183324.7092,7.029489531442818,15.718216520905033,29.329607522830784,44.13829761756039,57.916292625909364,69.59307597310861,78.7893424928452,85.49995135134942,89.90269815331528,92.23989439333099,92.77950351999267,91.7785073964908,89.46948753912832,86.0635514506622,81.7448632545824,76.66239388925635,70.94778162560279,64.71188842309529,58.05240396750301,51.05263370294664,43.771485672212926,18.50872592
