,x,y,z,t,PRP2.1,PRP2.1_inph,HCP2.0,HCP2.0_inph,PRP1.1,PRP1.1_inph,HCP1.0,HCP1.0_inph,PRP0.6,PRP0.6_inph,HCP0.5,HCP0.5_inph,x_query,y_query,z_query,pos
63,107750.5089,183318.258,26.30394313,44074.31197,56.35750646,-0.438835186,56.93725645,1.193005958,38.01588399,0.767715501,58.75155843,0.882863024,18.55084708,0.938593203,31.080034,0.845016628,107750.917,183318.346,26.31964639,28.19180726
64,107750.7229,183317.9756,26.31092591,44074.41679,55.75750646,-0.398835186,55.53725645,1.193005958,37.61930992,0.767858667,57.58992351,0.892842504,18.15780908,0.938593203,30.33503182,0.83537026,107751.0782,183318.1108,26.332525,28.47694667
65,107750.8968,183317.7484,26.31767545,44074.51781,54.55766089,-0.358677009,53.92657742,1.202979069,37.04223115,0.778925396,56.28344422,0.892781107,17.57310518,0.938593203,29.42055292,0.835528938,107751.2108,183317.9149,26.3401747,28.71350442
66,107751.0637,183317.5305,26.32389441,44074.61518,53.05838883,-0.33685848,52.46631978,1.212677093,36.05029793,0.779285706,54.96941626,0.882771113,16.87527207,0.938593203,28.51938473,0.835541352,107751.3385,183317.7235,26.34587382,28.94359407
67,107751.2443,183317.2943,26.32941892,44074.70875,51.46277133,-0.337862122,51.52091596,1.211859106,34.95089121,0.779341098,53.66599638,0.872770462,16.07536153,0.938593203,27.51938473,0.835541352,107751.5086,183317.4672,26.35122341,29.25120373
68,107751.9167,183316.4085,26.35067705,44075.09466,44.8650228,-0.343869426,51.30039004,1.201732116,27.75089121,0.779341098,48.36599638,0.892770462,11.97536153,0.938593203,22.61938473,0.835541352,107752.058,183316.652,26.36057259,30.23425581
69,107751.9167,183316.4085,26.35067705,44075.09466,44.8650228,-0.343869426,51.30039004,1.201732116,27.75089121,0.779341098,48.36599638,0.892770462,11.97536153,0.938593203,22.61938473,0.835541352,107752.1563,183316.5038,26.36692174,30.41209318
70,107752.1209,183316.1421,26.35796537,44075.19991,43.2650228,-0.323869426,51.90039004,1.201732116,25.95089121,0.789341098,47.36599638,0.892770462,10.87536153,0.938593203,21.61938473,0.835541352,107752.2656,183316.3409,26.36692174,30.60826377
71,107752.495,183315.6514,26.37511858,44075.41253,40.1650228,-0.263869426,52.80039004,1.191732116,22.35089121,0.799341098,44.96599638,0.892770462,9.975361528,0.938593203,19.41938473,0.835541352,107752.6472,183315.7858,26.36222024,31.28187684
72,107752.7174,183315.3529,26.38361437,44075.51388,38.3650228,-0.303869426,52.20039004,1.201732116,20.85089121,0.789341098,42.96599638,0.892770462,9.975361528,0.938593203,18.51938473,0.835541352,107752.7775,183315.5902,26.36754469,31.51690333
73,107752.7174,183315.3529,26.38361437,44075.51388,38.3650228,-0.303869426,52.20039004,1.201732116,20.85089121,0.789341098,42.96599638,0.892770462,9.975361528,0.938593203,18.51938473,0.835541352,107752.9039,183315.3958,26.38045468,31.7487833
74,107753.0354,183314.9051,26.39765237,44075.70431,34.1650228,-0.413869426,49.60039004,1.211732116,20.15089121,0.759341098,39.86599638,0.882770462,9.975361528,0.928593203,17.41938473,0.835541352,107753.0975,183315.0996,26.39205441,32.10264118
75,107753.1923,183314.6784,26.40359683,44075.79809,32.4650228,-0.433869426,48.10039004,1.211732116,20.05089121,0.759341098,39.16599638,0.892770462,9.675361528,0.938593203,17.01938473,0.845541352,107753.276,183314.8241,26.40321261,32.43091317
76,107753.3453,183314.4515,26.409359,44075.89204,31.7650228,-0.423869426,47.00039004,1.211732116,19.45089121,0.769341098,38.66599638,0.892770462,9.375361528,0.938593203,16.51938473,0.845541352,107753.4768,183314.5131,26.40991063,32.80110453
77,107753.5042,183314.2144,26.41534778,44075.98906,31.5650228,-0.433869426,46.50039004,1.231732116,18.65089121,0.769341098,38.16599638,0.882770462,9.075361528,0.938593203,16.11938473,0.845541352,107753.6519,183314.2381,26.41700018,33.12711835
78,107753.5042,183314.2144,26.41534778,44075.98906,31.5650228,-0.433869426,46.50039004,1.231732116,18.65089121,0.769341098,38.16599638,0.882770462,9.075361528,0.938593203,16.11938473,0.845541352,107753.6562,183314.2312,26.41700018,33.13524854
79,107753.654,183313.9908,26.42179491,44076.09198,31.3650228,-0.443869426,46.70039004,1.241732116,17.95089121,0.769341098,37.66599638,0.882770462,8.875361528,0.938593203,15.71938473,0.845541352,107753.857,183313.9069,26.41939398,33.51668153
80,107753.8631,183313.6806,26.42900061,44076.19777,30.7650228,-0.463869426,47.20039004,1.241732116,17.45089121,0.769341098,37.26599638,0.882770462,8.775361528,0.928593203,15.51938473,0.845541352,107754.042,183313.6175,26.42744838,33.86015986
81,107754.0385,183313.4238,26.43676465,44076.30489,30.2650228,-0.483869426,47.50039004,1.241732116,17.05089121,0.769341098,36.86599638,0.892770462,8.875361528,0.928593203,15.21938473,0.845541352,107754.1891,183313.3859,26.44062082,34.13452635
82,107754.2137,183313.1694,26.44485064,44076.4108,29.7650228,-0.503869426,47.50039004,1.221732116,16.75089121,0.759341098,36.36599638,0.892770462,8.875361528,0.928593203,14.51938473,0.845541352,107754.3292,183313.1607,26.45364118,34.39974899
83,107754.4293,183312.8579,26.45277898,44076.51399,29.1650228,-0.503869426,47.20039004,1.211732116,16.55089121,0.759341098,35.96599638,0.902770462,8.475361528,0.928593203,13.41938473,0.855541352,107754.4747,183312.9347,26.46439757,34.66853561
84,107754.5837,183312.6363,26.46032213,44076.61162,28.4650228,-0.503869426,46.70039004,1.221732116,16.15089121,0.759341098,35.76599638,0.912770462,8.375361528,0.928593203,13.11938473,0.855541352,107754.6472,183312.6713,26.46672802,34.98339401
85,107754.7512,183312.3969,26.46767855,44076.7065,27.8650228,-0.493869426,46.30039004,1.241732116,15.95089121,0.769341098,35.56599638,0.912770462,8.675361528,0.928593203,14.01938473,0.845541352,107754.8084,183312.4335,26.46810097,35.27068181
86,107754.9116,183312.1671,26.47484492,44076.80048,27.6650228,-0.443869426,46.20039004,1.251732116,16.15089121,0.779341098,35.26599638,0.902770462,8.575361528,0.928593203,14.71938473,0.845541352,107754.9703,183312.1937,26.47392394,35.56001838
87,107755.0738,183311.9344,26.4818774,44076.89633,27.5650228,-0.363869426,46.10039004,1.241732116,16.45089121,0.789341098,35.46599638,0.902770462,8.375361528,0.938593203,14.91938473,0.845541352,107755.1105,183311.9852,26.48619138,35.81127182
88,107755.2421,183311.6926,26.48875856,44076.99401,27.7650228,-0.303869426,46.10039004,1.241732116,16.45089121,0.799341098,35.86599638,0.892770462,8.275361528,0.938593203,14.91938473,0.845541352,107755.2691,183311.7515,26.49483519,36.09370703
89,107755.395,183311.4711,26.49553707,44077.09599,27.9650228,-0.273869426,46.30039004,1.251732116,16.25089121,0.799341098,36.16599638,0.892770462,8.275361528,0.938593203,14.81938473,0.845541352,107755.458,183311.4701,26.50299055,36.43263058
90,107755.5839,183311.1954,26.50193019,44077.2012,28.1650228,-0.303869426,46.30039004,1.261732116,16.15089121,0.799341098,36.06599638,0.892770462,8.375361528,0.938593203,14.71938473,0.835541352,107755.599,183311.2533,26.51461099,36.69124852
91,107755.7566,183310.9396,26.50799529,44077.30846,28.3650228,-0.343869426,46.10039004,1.261732116,16.15089121,0.789341098,35.76599638,0.892770462,8.475361528,0.938593203,14.71938473,0.835541352,107755.7502,183311.0179,26.52517241,36.9710245
92,107755.95,183310.65,26.51400038,44077.41342,28.4650228,-0.353869426,45.70039004,1.241732116,16.35089121,0.789341098,35.46599638,0.892770462,8.675361528,0.938593203,14.61938473,0.845541352,107755.8997,183310.7929,26.52856688,37.24116382
93,107755.95,183310.65,26.51400038,44077.41342,28.4650228,-0.353869426,45.70039004,1.241732116,16.35089121,0.789341098,35.46599638,0.892770462,8.675361528,0.938593203,14.61938473,0.845541352,107756.0481,183310.5719,26.53067954,37.50736592
94,107756.2627,183310.1761,26.5269781,44077.61317,28.7650228,-0.293869426,44.90039004,1.241732116,17.05089121,0.799341098,35.06599638,0.892770462,9.075361528,0.938590185,14.31938473,0.845541352,107756.2188,183310.3104,26.53294176,37.81964903
95,107756.4449,183309.8967,26.53439289,44077.70784,29.1650228,-0.273869426,44.60039004,1.241732116,17.45089121,0.799341098,34.86599638,0.892770462,9.375361528,0.938563137,14.31938473,0.845545323,107756.4037,183310.0306,26.53544032,38.15502352
96,107756.5757,183309.695,26.54233236,44077.80169,29.6650228,-0.273869426,44.00039004,1.231732116,17.95089121,0.789341098,34.86599638,0.892770462,9.675361528,0.938512305,14.51895872,0.84554927,107756.5694,183309.7849,26.5408797,38.45137632
97,107756.7288,183309.458,26.55056117,44077.89649,30.0650228,-0.303869426,43.50039004,1.221732116,18.35089121,0.779351299,34.96479769,0.892770462,9.875676962,0.927805717,14.81683685,0.845568924,107756.7052,183309.5822,26.55085769,38.69536183
98,107756.8926,183309.2039,26.55859671,44077.99502,30.4650612,-0.353869426,43.30039004,1.221732116,18.651101,0.779351299,35.2635755,0.892769876,9.975676962,0.937745362,15.11683685,0.845572897,107756.888,183309.3131,26.56050452,39.02067806
99,107757.0424,183308.9709,26.56620308,44078.0969,31.06509941,-0.393770029,43.40039004,1.221732116,19.051101,0.769351299,35.6635755,0.892769876,9.975676962,0.937711679,15.41683685,0.845572897,107757.0998,183309.0116,26.58213684,39.38913632
100,107757.2245,183308.6877,26.57341516,44078.20205,31.7651741,-0.413473223,43.59725649,1.211715327,19.451101,0.769351299,35.96234932,0.892769651,9.975890211,0.937711679,15.71651983,0.835575658,107757.2434,183308.8049,26.58213684,39.64082234
101,107757.3922,183308.4274,26.58036632,44078.30814,32.36524826,-0.38327114,43.99725649,1.191715327,19.75112411,0.769356965,36.35889158,0.892769065,9.976369818,0.937711679,15.9158611,0.835581512,107757.3884,183308.5996,26.59081971,39.89216491
102,107757.5592,183308.1682,26.58710073,44078.41387,32.76524826,-0.36327114,44.4939301,1.181707878,19.85119729,0.769372683,36.65527866,0.892768398,9.876928862,0.937711679,16.11532841,0.83558727,107757.5663,183308.3495,26.59060113,40.19908252
103,107757.5592,183308.1682,26.58710073,44078.41387,32.76524826,-0.36327114,44.4939301,1.181707878,19.85119729,0.769372683,36.65527866,0.892768398,9.876928862,0.937711679,16.11532841,0.83558727,107757.7227,183308.1255,26.59001047,40.47228018
104,107757.7219,183307.9155,26.59358582,44078.51482,33.06544585,-0.353142908,45.09050241,1.191697923,19.95124917,0.769383535,36.95387571,0.892768157,9.977118951,0.937711679,16.21532841,0.83558727,107757.896,183307.8795,26.59895064,40.77319361
105,107758.0167,183307.4567,26.60559585,44078.70423,33.16581742,-0.31295007,47.3850663,1.221684748,19.85127213,0.779388741,37.85387571,0.892768157,10.07711895,0.927711679,16.41532841,0.83558727,107758.1038,183307.5814,26.60546089,41.13657282
