x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,pos
107754.9373,183314.041,26.96216768,38107.98,17.14756806,8.804396285,34.62609494,16.30056837,42.9354999,27.20544086,0.875622318,0.930691879,0.871231683,1.011440491,1.307578693,0.052461148,31.40343064
107755.0537,183313.8753,26.96216768,38108.05,17.14756806,8.904396285,34.22609494,16.40056837,42.9354999,27.20544086,0.875622318,0.930691879,0.871231683,1.011440491,1.307578693,0.052461148,31.60595958
107755.2527,183313.5917,26.9696491,38108.15,17.04756806,9.004396285,33.82609494,16.40056837,42.6354999,27.80544086,0.875622318,0.930691879,0.871231683,1.001440491,1.297578693,0.052461148,31.95241659
107755.4237,183313.3475,26.9775854,38108.24,17.04756806,9.004396285,33.42609494,16.40056837,42.4354999,27.80544086,0.875622318,0.930691879,0.871231683,1.001440491,1.287578693,0.052461148,32.25055114
107755.6087,183313.0827,26.9850666,38108.35,17.04756806,8.904396285,33.32609494,16.60056837,42.4354999,28.30544086,0.875622318,0.940691879,0.881231683,1.001440491,1.277578693,0.042461148,32.57356677
107755.8087,183312.7955,26.99407429,38108.45,17.04756806,9.004396285,33.22609494,16.90056837,41.9354999,28.70544086,0.875622318,0.940691879,0.881231683,1.001440491,1.317578693,0.072461148,32.92351256
107755.9463,183312.5974,27.00256319,38108.53,17.04756806,9.204396285,33.32609494,17.20056837,41.8354999,29.40544086,0.875622318,0.930691879,0.881231683,1.001440491,1.337578693,0.092461148,33.16471699
107756.0786,183312.4065,27.00256319,38108.6,16.94756806,9.204396285,33.62609494,17.50056837,41.8354999,29.40544086,0.875622318,0.930691879,0.881231683,1.001440491,1.337578693,0.092461148,33.39702984
107756.2862,183312.1058,27.01381936,38108.7,16.84756806,9.504396285,34.02609494,17.80056837,41.8354999,30.10544086,0.875622318,0.930691879,0.881231683,1.001440491,1.317578693,0.102461148,33.76239025
107756.4581,183311.8558,27.0164935,38108.8,16.94756806,9.504396285,34.32609494,18.00056837,41.9354999,30.40544086,0.875622318,0.930691879,0.881231683,1.001440491,1.297578693,0.102461148,34.06579989
107756.6439,183311.5845,27.02139853,38108.9,17.14756806,9.904396285,34.42609494,18.30056837,42.1354999,30.60544086,0.875622318,0.930691879,0.881231683,1.001440491,1.287578693,0.092461148,34.39458733
107756.8825,183311.234,27.02595482,38109.03,17.54756806,10.00439629,34.32609494,18.50056837,42.4354999,30.80544086,0.875622318,0.930691879,0.881231683,1.001440491,1.287578693,0.072461148,34.81864421
107757.0863,183310.9329,27.02963994,38109.13,17.64756806,10.10439629,34.52609494,18.60056837,42.4354999,31.20544086,0.875622318,0.940691879,0.871231683,1.001440491,1.277578693,0.072461148,35.18215615
107757.2595,183310.6759,27.03328666,38109.24,17.84756806,10.10439629,35.02609494,18.80056837,42.5354999,31.30544086,0.875622318,0.930691879,0.871231683,1.011440491,1.277578693,0.062461148,35.49212974
107757.4373,183310.4109,27.03727898,38109.34,18.04756806,10.0044755,35.32609494,18.90056837,43.1354999,31.20544086,0.875622318,0.930695311,0.871231683,1.011440491,1.287578693,0.032461148,35.81123893
107757.6318,183310.12,27.04396134,38109.44,18.04768925,10.00466164,35.62610231,19.00059678,43.93559767,31.50548799,0.875622671,0.930703617,0.871234212,1.001449228,1.28758522,0.032521151,36.16114622
107757.8212,183309.8353,27.04873916,38109.55,18.14768925,10.00482137,35.92611592,19.00064999,44.93565421,31.70548799,0.875622671,0.930710867,0.8712398,1.001469176,1.297588063,0.082521151,36.50308319
107757.9829,183309.5923,27.0545084,38109.65,18.14768925,10.00492147,36.22566341,18.9006224,45.73553181,31.70548799,0.875622671,0.930710867,0.871268872,1.001511826,1.297592256,0.082521151,36.794989
107758.1473,183309.3443,27.06083204,38109.75,18.34840749,10.00492147,36.32566341,18.90061042,46.03535028,31.60397018,0.875658494,0.930710867,0.871287201,1.001511826,1.297594306,0.102846544,37.09252475
107758.3594,183309.0236,27.0685143,38109.86,18.44840749,10.10492147,36.22566341,18.70061042,46.13535028,31.40397018,0.875658494,0.930710867,0.871287201,1.001511826,1.297594306,0.072846544,37.47700384
107758.5386,183308.7527,27.0740375,38109.96,18.44840749,10.30492147,36.22566341,18.60061042,46.23535028,31.40397018,0.875658494,0.930710867,0.871287201,1.001511826,1.297594306,0.022846544,37.80181671
107758.7287,183308.4654,27.0835125,38110.06,18.64840749,10.40492147,36.52566341,18.70061042,47.33535028,31.90397018,0.875658494,0.930710867,0.871287201,1.001511826,1.307594306,-0.037153456,38.14634317
107758.871,183308.2503,27.0930432,38110.15,18.64840749,10.30492147,37.02566341,18.90061042,47.93535028,32.00397018,0.875658494,0.930710867,0.871287201,1.001511826,1.287594306,-0.037153456,38.40423323
107759.0112,183308.0386,27.10502917,38110.23,18.84840749,10.30492147,37.42566341,19.20061042,47.93535028,32.10397018,0.875658494,0.930710867,0.861287201,1.001511826,1.287594306,-0.017153456,38.65817932
107759.1511,183307.8267,27.1153375,38110.31,19.04840749,10.20492147,37.82566341,19.40061042,48.23535028,32.10397018,0.875658494,0.940710867,0.861287201,1.011511826,1.287594306,-0.017153456,38.91206488
107759.342,183307.538,27.12265496,38110.42,19.14840749,10.10492147,38.52566341,19.40061042,48.73535028,32.40397018,0.875658494,0.930710867,0.871287201,1.011511826,1.307594306,0.002846544,39.25815074
107759.5665,183307.1978,27.13718857,38110.55,19.54840749,10.20492147,39.12566341,19.40061042,49.33535028,33.50397018,0.875658494,0.930710867,0.871287201,1.001511826,1.317594306,0.032846544,39.66579538
107759.7366,183306.9389,27.14524952,38110.66,19.54840749,10.50492147,39.72566341,19.50061042,49.83535028,34.00397018,0.875658494,0.930710867,0.881287201,1.001511826,1.317594306,0.062846544,39.97558209
107759.8895,183306.7059,27.14524952,38110.75,19.94840749,10.50492147,40.02566341,19.90061042,50.23535028,34.00397018,0.875658494,0.930710867,0.881287201,1.001511826,1.317594306,0.062846544,40.25427797
107760.0812,183306.414,27.15287365,38110.86,20.54840749,11.70492147,40.22566341,20.40061042,50.43535028,35.90397018,0.875658494,0.930710867,0.881287201,1.001511826,1.317594306,0.092846544,40.60344511
107760.2316,183306.1861,27.16204752,38110.96,21.24840749,11.70492147,40.42566341,21.10061042,50.73535028,37.10397018,0.875658494,0.930710867,0.871287201,1.001511826,1.327594306,0.082846544,40.87656463
107760.3781,183305.9651,27.16871033,38111.04,21.44840749,12.10492147,40.92566341,22.10061042,51.03535028,38.20397018,0.875658494,0.930710867,0.871287201,1.001511826,1.347594306,0.062846544,41.14164303
107760.5152,183305.7597,27.1756751,38111.13,21.54840749,12.30492147,41.92566341,23.20061042,51.53535028,38.20397018,0.875658494,0.930710867,0.881287201,1.001511826,1.377594306,0.062846544,41.38862046
107760.7147,183305.4627,27.18158623,38111.24,21.94840749,12.50492147,43.22566341,24.00061042,52.33535028,41.00397018,0.875658494,0.930710867,0.881287201,1.001511826,1.367594306,0.042846544,41.7464105
107760.8861,183305.2088,27.18701188,38111.34,23.24840749,12.70492147,44.52566341,24.60061042,53.53535028,41.00397018,0.875658494,0.930710867,0.881287201,1.001511826,1.347594306,0.042846544,42.05269432
107761.073,183304.9323,27.192264,38111.44,23.74840749,12.80492147,45.72566341,25.00061042,54.93535028,42.40397018,0.875658494,0.930710867,0.871287201,1.001511826,1.337594306,0.022846544,42.38648626
107761.2472,183304.6744,27.196168,38111.55,23.74840749,13.00492147,46.72566341,25.30061042,54.93535028,42.40397018,0.875658494,0.930710867,0.871287201,1.001511826,1.337594306,0.022846544,42.6977033
107761.3775,183304.4812,27.196168,38111.65,24.04840749,13.00492147,47.52566341,25.70061042,56.13535028,43.80397018,0.875658494,0.930710867,0.871287201,1.001511826,1.347594306,0.012846544,42.93070287
