x,y,z,t,PRP0.6,PRP0.6_inph,PRP1.1,PRP1.1_inph,PRP2.1,PRP2.1_inph,HCP0.5,HCP0.5_inph,HCP1.0,HCP1.0_inph,HCP2.0,HCP2.0_inph,pos
107749.529,183320.4525,26.25463525,42880.78656,16.21015455,1.01150333,34.43648141,0.630557708,51.23608343,-0.913044668,34.56070927,0.88220939,53.6531863,0.852643427,52.15149282,1.197125027,25.66899962
107749.6842,183320.2145,26.25657204,42880.87758,16.22093718,1.01148308,34.62990141,0.621508367,52.23721255,-0.923096342,34.46156611,0.882196772,54.16128887,0.852683687,52.65250384,1.197133611,25.9531317
107749.8181,183320.0091,26.25657204,42880.96637,16.12570445,1.001474356,34.52726205,0.611900425,52.94609866,-0.963508729,34.46170579,0.882196233,54.66398715,0.852705107,53.36147166,1.197335719,26.19832218
107749.9736,183319.7682,26.26953527,42881.06901,16.1258858,1.00147375,34.32695968,0.591940703,53.76799128,-1.0343831,34.56170579,0.882196233,55.56466057,0.852707874,54.28309496,1.197860519,26.48505038
107750.138,183319.5111,26.28853024,42881.18191,15.9258858,1.00147375,34.02695968,0.571940703,54.37068373,-1.134567708,34.56170579,0.882196233,56.16466057,0.852707874,55.08616955,1.217928174,26.79021881
107750.2858,183319.2843,26.291,42881.28492,15.8258858,0.99147375,33.72695968,0.551940703,54.67080171,-1.24457912,34.46170579,0.882196233,56.16466057,0.862707874,55.48676505,1.227936877,27.06092728
107750.4389,183319.053,26.291,42881.38417,15.8258858,0.99147375,33.42695968,0.531940703,54.37080171,-1.32457912,34.26170579,0.882196233,55.76466057,0.862707874,55.48676505,1.237936877,27.33830663
107750.6005,183318.8097,26.29582151,42881.48279,15.7258858,0.99147375,33.22695968,0.541940703,53.27080171,-1.34457912,34.06170579,0.882196233,54.86466057,0.862707874,55.18676505,1.247936877,27.63038444
107750.7639,183318.5682,26.30716404,42881.58007,15.7258858,0.99147375,33.02695968,0.561940703,51.97080171,-1.28457912,33.76170579,0.882196233,53.56466057,0.862707874,54.58676505,1.247936877,27.92196944
107750.917,183318.346,26.31964639,42881.68301,15.8258858,1.00147375,32.82695968,0.581940703,50.77080171,-1.21457912,33.36170579,0.882196233,52.26466057,0.862707874,53.48676505,1.227936877,28.19180726
107751.0782,183318.1108,26.332525,42881.78636,15.7258858,1.00147375,32.42695968,0.591940703,49.67080171,-1.18457912,32.76170579,0.882196233,51.06466057,0.862707874,52.18676505,1.207936877,28.47694667
107751.2108,183317.9149,26.3401747,42881.87857,15.4258858,1.00147375,31.82695968,0.581940703,48.47080171,-1.14457912,32.16170579,0.882196233,50.26466057,0.862707874,51.28676505,1.197936877,28.71350442
107751.3385,183317.7235,26.34587382,42881.96659,15.0258858,1.00147375,31.12695968,0.591940703,47.47080171,-1.06457912,31.56170579,0.882196233,49.86466057,0.852707874,50.38676505,1.197936877,28.94359407
107751.5086,183317.4672,26.35122341,42882.06835,14.5258858,1.00147375,30.12695968,0.601940703,46.57080171,-0.99457912,30.76170579,0.882196233,49.16466057,0.852707874,49.68676505,1.207936877,29.25120373
107752.058,183316.652,26.36057259,42882.38892,12.5258858,0.99147375,25.82695968,0.591940703,42.97080171,-1.00457912,27.86170579,0.882196233,45.26466057,0.862707874,48.78676505,1.237936877,30.23425581
107752.1563,183316.5038,26.36692174,42882.4873,11.5258858,0.99147375,24.32695968,0.571940703,41.37080171,-1.08457912,26.86170579,0.882196233,43.96466057,0.862707874,48.98676505,1.237936877,30.41209318
107752.2656,183316.3409,26.36692174,42882.58419,10.5258858,0.99147375,23.02695968,0.551940703,39.47080171,-1.17457912,25.96170579,0.882196233,43.26466057,0.862707874,49.58676505,1.227936877,30.60826377
107752.6472,183315.7858,26.36222024,42882.78769,8.925885803,0.99147375,19.92695968,0.551940703,36.17080171,-1.29457912,23.76170579,0.882196233,41.76466057,0.852707874,50.28676505,1.217936877,31.28187684
107752.7775,183315.5902,26.36754469,42882.87507,8.725885803,0.99147375,18.52695968,0.561940703,34.47080171,-1.27457912,22.76170579,0.882196233,40.06466057,0.852707874,49.78676505,1.217936877,31.51690333
107752.9039,183315.3958,26.38045468,42882.95912,8.725885803,1.00147375,17.82695968,0.581940703,32.87080171,-1.19457912,22.06170579,0.882196233,38.36466057,0.862707874,48.78676505,1.227936877,31.7487833
107753.0975,183315.0996,26.39205441,42883.06534,8.825885803,1.00147375,17.72695968,0.601940703,31.37080171,-1.09457912,21.66179892,0.882194823,36.96466057,0.872707874,47.58676505,1.237936877,32.10264118
107753.276,183314.8241,26.40321261,42883.18683,8.626647492,0.991471682,17.52695968,0.591940703,29.97080171,-1.04457912,21.2621786,0.882190076,35.96531404,0.872711031,46.28676505,1.237936877,32.43091317
107753.4768,183314.5131,26.40991063,42883.28863,8.327580883,0.991469234,17.12664347,0.571976397,28.87080171,-1.05457912,20.76241874,0.882186976,35.46602482,0.872713993,45.18676505,1.237936877,32.80110453
107753.6519,183314.2381,26.41700018,42883.38523,7.928147612,0.981467893,16.52640871,0.562007009,28.27093435,-1.114586667,20.4625563,0.88218536,35.06645346,0.872716129,44.68678169,1.227943472,33.12711835
107753.6562,183314.2312,26.41700018,42883.48508,7.728728589,0.981465957,15.72592799,0.562051873,28.07121244,-1.164603478,20.16273813,0.882183128,34.56712556,0.87271938,44.78681907,1.217958327,33.13524854
107753.857,183313.9069,26.41939398,42883.58592,7.528728589,0.991465957,15.02559682,0.562087116,27.87146685,-1.184621302,19.76273813,0.882183128,34.06760415,0.862721812,45.18687292,1.207979248,33.51668153
107754.042,183313.6175,26.42744838,42883.68748,7.328728589,0.991465278,14.42547395,0.582087116,27.4717321,-1.154639553,19.36273813,0.882183128,33.86760415,0.862721812,45.58692242,1.19799564,33.86015986
107754.1891,183313.3859,26.44062082,42883.78846,7.328988195,1.001464599,14.12547395,0.592087116,26.77189968,-1.084650917,19.06273813,0.882183128,33.66760415,0.862721812,45.6869645,1.19800994,34.13452635
107754.3292,183313.1607,26.45364118,42883.8797,7.328988195,1.001464599,14.02547395,0.602098518,25.97189968,-1.004650917,18.86273813,0.882183128,33.26760415,0.862721812,45.1869645,1.20800994,34.39974899
107754.4747,183312.9347,26.46439757,42883.96914,7.428988195,1.001464599,14.02547395,0.602098518,25.37189968,-0.974650917,18.66273813,0.882183128,32.76785159,0.872721812,44.3869645,1.20800994,34.66853561
107754.6472,183312.6713,26.46672802,42884.07224,7.528988195,0.991464599,14.12547395,0.602098518,25.07194643,-0.984649456,18.56273813,0.882183128,32.26785159,0.872721812,43.5869645,1.21800994,34.98339401
107754.8084,183312.4335,26.46810097,42884.18429,7.428988195,0.991464599,14.32547395,0.592098518,25.17194643,-1.034649456,18.46273813,0.882183128,32.06785159,0.882721812,43.0869645,1.21800994,35.27068181
107754.9703,183312.1937,26.47392394,42884.28457,7.228988195,0.991464599,14.32547395,0.582098518,25.37194643,-1.074649456,18.56273813,0.882183128,32.06785159,0.872721812,42.98718626,1.21800994,35.56001838
107755.1105,183311.9852,26.48619138,42884.38126,7.128988195,0.991464599,14.22547395,0.582098518,25.47194643,-1.074649456,18.66273813,0.882183128,32.26785159,0.872721812,43.18718626,1.20800994,35.81127182
107755.2691,183311.7515,26.49483519,42884.48085,7.028988195,1.001464599,14.02547395,0.592098518,25.57194643,-1.034649456,18.76273813,0.882183128,32.66785159,0.862721812,43.38718626,1.21800994,36.09370703
107755.458,183311.4701,26.50299055,42884.58275,7.128988195,1.001464599,14.02547395,0.602098518,25.67194643,-0.974649456,18.66273813,0.882183128,32.76785159,0.862721812,43.38718626,1.21800994,36.43263058
107755.599,183311.2533,26.51461099,42884.6863,7.228988195,1.001464599,14.02547395,0.612098518,25.77194643,-0.924649456,18.66273813,0.882183128,32.66785159,0.872721812,43.38718626,1.20800994,36.69124852
107755.7502,183311.0179,26.52517241,42884.78941,7.328988195,1.001464599,14.12547395,0.612098518,25.77194643,-0.894649456,18.56273813,0.882183128,32.26785159,0.862721812,43.28718626,1.18800994,36.9710245
107755.8997,183310.7929,26.52856688,42884.87898,7.528988195,1.001464599,14.32547395,0.602098518,25.87194643,-0.904649456,18.56273813,0.882183128,31.96785159,0.862721812,42.98718626,1.18800994,37.24116382
107756.0481,183310.5719,26.53067954,42884.96564,7.728988195,0.991464599,14.62547395,0.592098518,25.97194643,-0.934649456,18.56273813,0.882183128,31.66785159,0.862721812,42.58718626,1.19800994,37.50736592
107756.2188,183310.3104,26.53294176,42885.06919,7.828988195,1.001464599,14.92547395,0.602098518,26.07194643,-0.954649456,18.66273813,0.882183128,31.66785159,0.872721812,42.28718626,1.19800994,37.81964903
107756.4037,183310.0306,26.53544032,42885.1839,8.128988195,1.001464599,15.42547395,0.612098518,26.37194643,-0.944649456,18.76273813,0.882183128,31.76785159,0.872721812,41.68718626,1.20800994,38.15502352
107756.5694,183309.7849,26.5408797,42885.28743,8.428988195,1.001464599,15.92547395,0.622098518,26.77194643,-0.934649456,18.86273813,0.882183128,31.96785159,0.872721812,41.08718626,1.22800994,38.45137632
107756.7052,183309.5822,26.55085769,42885.38526,8.728988195,0.991464599,16.32547395,0.602098518,27.47194643,-0.974649456,19.16273813,0.882183128,32.26785159,0.862721812,41.08718626,1.25800994,38.69536183
107756.888,183309.3131,26.56050452,42885.48275,8.828988195,0.981464599,16.62547395,0.562098518,28.27194643,-1.084649456,19.56273813,0.882183128,32.56785159,0.862721812,41.58718626,1.26800994,39.02067806
107757.0998,183309.0116,26.58213684,42885.58113,8.928988195,0.981464599,16.92547395,0.552098518,29.17194643,-1.194649456,19.86273813,0.882183128,32.96785159,0.862721812,42.08718626,1.26800994,39.38913632
107757.2434,183308.8049,26.58213684,42885.68328,9.028988195,0.991464599,17.22547395,0.552098518,30.07194643,-1.234649456,20.16273813,0.882183128,33.36785159,0.872721812,42.68718626,1.24800994,39.64082234
107757.3884,183308.5996,26.59081971,42885.78549,9.028988195,1.001464599,17.22547395,0.572098518,30.57194643,-1.164649456,20.36273813,0.882183128,33.76785159,0.872721812,43.18718626,1.21800994,39.89216491
107757.5663,183308.3495,26.59060113,42885.87616,9.028988195,1.001464599,17.22547395,0.602098518,30.37194643,-1.034649456,20.36273813,0.882183128,34.16785159,0.872721812,43.78718626,1.18800994,40.19908252
107757.7227,183308.1255,26.59001047,42885.96364,8.928988195,1.001464599,17.02547395,0.602098518,30.27194643,-0.924649456,20.36273813,0.882183128,34.36785159,0.862721812,44.58718626,1.20800994,40.47228018
107757.896,183307.8795,26.59895064,42886.06785,8.828988195,0.991464599,16.92547395,0.592098518,30.47194643,-0.914649456,20.26283315,0.882183128,34.56785159,0.862721812,45.48718626,1.23800994,40.77319361
107758.1038,183307.5814,26.60546089,42886.18182,8.831403731,0.991454217,16.92547395,0.582098518,30.57194643,-0.964649456,20.36387577,0.882169407,34.76797747,0.862721812,46.28718626,1.24800994,41.13657282
107758.2757,183307.3329,26.61360367,42886.2837,8.745035787,0.991385701,16.82471511,0.592134993,30.47194643,-1.014649456,20.57148201,0.882086614,35.36834592,0.862725661,46.78718626,1.25800994,41.43873479
107758.4196,183307.1264,26.62638797,42886.38215,8.650048987,1.001364982,16.91906286,0.602538612,30.57194643,-1.004649456,20.7743904,0.882055221,35.97194863,0.862753016,47.18718626,1.268024113,41.69042798
107758.6076,183306.8524,26.63965819,42886.48195,8.752201557,1.001354229,17.00543527,0.613617942,30.67129446,-0.93457355,20.87580438,0.882043154,36.49379485,0.862830263,47.38718626,1.26808643,42.02272303
107758.9756,183306.3248,26.64792853,42886.68677,9.252272624,1.001353539,17.50362232,0.603771125,31.05021376,-0.912680024,21.27585121,0.882043154,36.80164978,0.872839114,48.29585917,1.26900501,42.66598484
107759.2572,183305.9043,26.648,42886.87953,9.552272624,1.001353539,18.10362232,0.603771125,31.74968892,-0.96257167,21.87585121,0.882043154,37.40164978,0.862839114,49.01353928,1.259011996,43.17206666
107759.5951,183305.4052,26.67966743,42887.06963,9.752272624,0.991353539,18.90362232,0.573771125,32.64968892,-1.09257167,22.37585121,0.882043154,38.40164978,0.862839114,49.91353928,1.269011996,43.77479149
107759.7643,183305.1427,26.68083162,42887.18612,9.952272624,0.991353539,19.30362232,0.553771125,33.54968892,-1.15257167,22.67585121,0.882043154,39.00164978,0.872839114,50.61353928,1.269011996,44.08709726
107760.4634,183304.0959,26.70011032,42887.58507,10.25227262,1.001353539,20.30362232,0.583771125,37.64968892,-1.10257167,24.07585121,0.882043154,42.60164978,0.872839114,54.41353928,1.289011996,45.34587883
107761.1465,183303.0294,26.74287231,42888.06618,12.05227262,1.011353539,23.90362232,0.623771125,41.74968892,-0.93257167,27.57585121,0.882043154,46.90164978,0.862839114,60.81353928,1.269011996,46.61238894
107761.3251,183302.7481,26.73783414,42888.18147,12.75227262,1.011353539,25.20362232,0.603771125,43.34968892,-0.97257167,28.67585121,0.882043154,48.60164978,0.862839114,62.11353928,1.279011996,46.94559706
107761.4763,183302.5095,26.73783414,42888.2878,13.45227262,1.001353539,26.80362232,0.563771125,45.24968892,-1.14257167,29.87585121,0.882043154,50.90164978,0.862839114,63.71353928,1.289011996,47.22807077
107761.8808,183301.8977,26.76115684,42888.57946,17.25227262,0.991353539,33.30362232,0.553771125,52.54968892,-1.40257167,35.77585121,0.882043154,59.40164978,0.862839114,68.51353928,1.309011996,47.96150072
107763.8076,183298.9908,26.85124853,42889.78461,24.15073569,0.991360366,52.40598955,0.563818268,86.84983236,-1.092238897,51.17661533,0.88204387,84.8030181,0.872842402,85.41384456,1.329052841,51.44899636
107764.4369,183297.9799,26.88123651,42890.18401,23.45073569,1.011360366,49.80598955,0.613818268,85.84983236,-1.082238897,51.47661533,0.88204387,85.1030181,0.872842402,92.51384456,1.349052841,52.63976809
107764.5959,183297.7358,26.88163632,42890.28503,23.75073569,1.021360366,49.80598955,0.633818268,84.64983236,-0.912238897,51.27661533,0.88204387,84.2030181,0.862842402,92.01384456,1.359052841,52.93108546
107764.7529,183297.5022,26.88934789,42890.38133,23.85073569,1.011360366,50.00598955,0.633818268,83.34983236,-0.842238897,50.87661533,0.88204387,83.4030181,0.862842402,90.71384456,1.359052841,53.21254231
107765.1168,183296.9588,26.94052864,42890.58176,22.95047972,1.001361797,49.50598955,0.583818268,81.94983236,-1.032238897,49.77672299,0.882042228,82.1030181,0.882842402,87.81384456,1.379052841,53.86653525
107765.707,183296.0884,26.93810885,42890.97012,20.15047972,1.001361797,44.60609915,0.583837264,82.74952416,-1.082216082,48.27694084,0.882041407,83.60496783,0.882844878,94.62289516,1.389052841,54.91816837
107765.8901,183295.8262,26.95458727,42891.07335,19.65047972,1.001361797,43.20609915,0.583837264,82.14952416,-1.072216082,48.27694084,0.882041407,83.90496783,0.872844878,97.42289516,1.389052841,55.23797213
107766.0705,183295.56,26.96305735,42891.18535,19.65047972,1.001361797,42.40609915,0.593837264,80.84952416,-1.042216082,48.27694084,0.882041407,84.00496783,0.872844878,99.82289516,1.389052841,55.5595411
107766.2129,183295.3421,26.96305735,42891.28564,20.05047972,1.001361797,42.40609915,0.603837264,79.04952416,-1.032216082,48.67694084,0.882041407,83.80496783,0.872844878,101.2228952,1.379052841,55.81984509
107766.3693,183295.1096,26.97038811,42891.38232,20.75047972,1.001361797,43.00609915,0.593837264,77.54952416,-1.072216082,49.27694084,0.882041407,83.60496783,0.882844878,101.1228952,1.379052841,56.10005432
